               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.055832,            0.017974,                   0,             0.95637,             0.91213,             0.95822,             0.57919,            0.032727,            0.005371,                   0,             0.00285,             0.00285,             0.07435
                   1,            0.035705,            0.012178,                   0,             0.96707,             0.96117,             0.98289,              0.6588,            0.028318,           0.0044516,                   0,           0.0057014,           0.0057014,            0.048601
                   2,            0.033011,            0.011567,                   0,             0.95543,             0.93458,              0.9683,             0.64287,            0.029817,           0.0047254,                   0,           0.0085443,           0.0085443,            0.022844
                   3,            0.034394,            0.011916,                   0,             0.96226,             0.93799,             0.97292,             0.63447,            0.028894,           0.0045987,                   0,            0.009955,            0.009955,            0.009955
                   4,            0.031818,            0.011685,                   0,             0.97304,             0.93733,             0.97892,             0.64877,            0.027758,           0.0044726,                   0,            0.009955,            0.009955,            0.009955
                   5,            0.030526,            0.011158,                   0,             0.97732,             0.96856,              0.9848,             0.68481,            0.026542,           0.0042723,                   0,             0.00994,             0.00994,             0.00994
                   6,            0.029616,            0.010927,                   0,             0.97867,             0.93787,             0.97756,             0.68709,            0.026736,           0.0042625,                   0,            0.009925,            0.009925,            0.009925
                   7,            0.028714,             0.01078,                   0,             0.98066,             0.93869,              0.9781,             0.67097,            0.026756,           0.0043709,                   0,             0.00991,             0.00991,             0.00991
                   8,            0.028217,             0.01051,                   0,             0.98408,             0.96858,              0.9881,             0.70809,            0.024117,            0.004026,                   0,            0.009895,            0.009895,            0.009895
                   9,            0.027753,            0.010407,                   0,             0.98687,             0.97264,             0.99184,             0.70946,            0.025607,           0.0039605,                   0,             0.00988,             0.00988,             0.00988
                  10,            0.027309,            0.010415,                   0,             0.98619,             0.97273,             0.98747,             0.70784,            0.024324,           0.0039162,                   0,            0.009865,            0.009865,            0.009865
                  11,            0.026857,            0.010139,                   0,              0.9846,             0.97343,             0.98618,             0.70137,            0.025282,           0.0040229,                   0,             0.00985,             0.00985,             0.00985
                  12,            0.026513,            0.010178,                   0,             0.98073,             0.97139,              0.9868,             0.70608,            0.024337,           0.0039872,                   0,            0.009835,            0.009835,            0.009835
                  13,            0.026687,            0.010034,                   0,             0.99103,             0.98025,              0.9918,             0.72573,            0.023806,           0.0038143,                   0,             0.00982,             0.00982,             0.00982
                  14,            0.026457,             0.01013,                   0,             0.98902,             0.98157,             0.99165,             0.73435,            0.022974,           0.0037656,                   0,            0.009805,            0.009805,            0.009805
                  15,            0.025997,           0.0099054,                   0,             0.98584,             0.95095,             0.98409,             0.70209,            0.025057,           0.0040785,                   0,             0.00979,             0.00979,             0.00979
                  16,            0.026046,           0.0099294,                   0,             0.98008,             0.97275,             0.98802,             0.72151,            0.024761,           0.0039672,                   0,            0.009775,            0.009775,            0.009775
                  17,            0.025666,           0.0099285,                   0,             0.97495,             0.95845,             0.98584,             0.70699,            0.024782,           0.0040829,                   0,             0.00976,             0.00976,             0.00976
                  18,            0.025615,           0.0098302,                   0,             0.98971,             0.98288,             0.99357,             0.73652,            0.022574,           0.0037684,                   0,            0.009745,            0.009745,            0.009745
                  19,            0.025413,           0.0095821,                   0,             0.98836,             0.98296,              0.9929,             0.73611,            0.023341,           0.0037136,                   0,             0.00973,             0.00973,             0.00973
                  20,            0.025143,           0.0097486,                   0,             0.98829,             0.97751,             0.99209,             0.73434,            0.023601,           0.0038013,                   0,            0.009715,            0.009715,            0.009715
                  21,             0.02524,           0.0098781,                   0,             0.98822,             0.97616,             0.99183,             0.71842,            0.023568,           0.0038475,                   0,              0.0097,              0.0097,              0.0097
                  22,            0.025168,           0.0096404,                   0,             0.99173,             0.98093,             0.99271,             0.72672,            0.023469,           0.0037372,                   0,            0.009685,            0.009685,            0.009685
                  23,            0.024884,           0.0096332,                   0,             0.99102,             0.98025,             0.99315,             0.74199,            0.022881,           0.0037337,                   0,             0.00967,             0.00967,             0.00967
                  24,            0.024656,           0.0096183,                   0,              0.9915,             0.97684,             0.99157,             0.72963,            0.022935,           0.0038277,                   0,            0.009655,            0.009655,            0.009655
                  25,             0.02481,            0.009601,                   0,             0.98293,              0.9809,              0.9908,             0.73866,            0.023587,           0.0037411,                   0,             0.00964,             0.00964,             0.00964
                  26,            0.024754,           0.0095852,                   0,              0.9857,             0.98637,             0.99328,             0.74493,            0.022652,           0.0036604,                   0,            0.009625,            0.009625,            0.009625
                  27,            0.024676,            0.009533,                   0,             0.99382,             0.98706,             0.99419,             0.75238,            0.022248,           0.0035845,                   0,             0.00961,             0.00961,             0.00961
                  28,            0.024401,           0.0096191,                   0,              0.9904,             0.98501,             0.99347,             0.75961,            0.021961,            0.003616,                   0,            0.009595,            0.009595,            0.009595
                  29,            0.024403,           0.0094897,                   0,             0.98906,             0.98706,             0.99342,             0.75144,            0.021806,           0.0036513,                   0,             0.00958,             0.00958,             0.00958
                  30,            0.024402,           0.0095781,                   0,             0.99383,             0.98842,             0.99465,             0.75853,            0.022376,           0.0035631,                   0,            0.009565,            0.009565,            0.009565
                  31,             0.02423,           0.0094458,                   0,             0.98909,             0.98773,             0.99375,             0.75158,            0.022253,            0.003604,                   0,             0.00955,             0.00955,             0.00955
                  32,            0.024105,            0.009439,                   0,             0.99098,             0.98706,             0.99412,             0.76018,             0.02257,           0.0035613,                   0,            0.009535,            0.009535,            0.009535
                  33,            0.023983,            0.009466,                   0,             0.99245,             0.98842,             0.99424,             0.75865,            0.022336,           0.0035766,                   0,             0.00952,             0.00952,             0.00952
                  34,            0.024014,           0.0092849,                   0,             0.98773,             0.98978,             0.99417,             0.75864,            0.021864,           0.0035404,                   0,            0.009505,            0.009505,            0.009505
                  35,            0.023824,           0.0094562,                   0,              0.9878,             0.99317,             0.99468,             0.76164,            0.021656,           0.0035282,                   0,             0.00949,             0.00949,             0.00949
                  36,              0.0238,           0.0093868,                   0,             0.99181,             0.99046,             0.99476,             0.75474,            0.021972,            0.003571,                   0,            0.009475,            0.009475,            0.009475
                  37,            0.023811,            0.009414,                   0,             0.99655,             0.98363,             0.99453,             0.75419,            0.022313,           0.0035991,                   0,             0.00946,             0.00946,             0.00946
